Histone variant,Previous HGNC Symbol,Interactor gene,Interactor category,PDBID,BioGRID count,String count,IntAct count
canonical H4,HIST1H4A,NCOR1,"PTM readers,TF",,1,1,0
canonical H4,HIST1H4A,MECP2,TF,,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",SHPRH,"Histone chaperones,TF,DNA repair",,"1,0","1,0","0,1"
canonical H4,HIST1H4A,MORF4L2,"Chromatin remodelers,DNA repair",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",CBX5,"PTM writers,PTM erasers,PTM readers,Chromatin remodelers,TF,Chromatin architecture",,"2,0","2,1","0,1"
canonical H4,HIST1H4A,CDC6,Replication associated,,1,1,0
canonical H4,HIST1H4A,KMT2A,"PTM writers,PTM readers,DNA modificators,TF",6PWV,12,12,0
canonical H4,HIST1H4A,KMT2A,"PTM writers,PTM readers,DNA modificators,TF",6PWW,12,12,0
canonical H4,HIST1H4A,KMT2A,"PTM writers,PTM readers,DNA modificators,TF",6KIV,12,12,0
canonical H4,HIST1H4A,KMT2A,"PTM writers,PTM readers,DNA modificators,TF",6KIX,12,12,0
canonical H4,HIST1H4A,KMT2A,"PTM writers,PTM readers,DNA modificators,TF",6KIZ,12,12,0
canonical H4,HIST1H4A,KMT2A,"PTM writers,PTM readers,DNA modificators,TF",6KIU,12,12,0
canonical H4,HIST1H4A,SIN3B,TF,,1,1,0
canonical H4,HIST1H4A,SUZ12,"PTM writers,TF,Transcription associated",7AT8,2,2,0
canonical H4,HIST1H4A,CBX1,"PTM readers,Chromatin architecture",,1,1,0
canonical H4,HIST1H4A,CXXC1,"PTM writers,PTM readers,TF",,1,1,0
canonical H4,HIST1H4A,HIST3H3,,,1,1,0
canonical H4,HIST1H4A,EPC2,"Chromatin remodelers,DNA repair",,1,1,0
canonical H4,HIST1H4A,YEATS4,"PTM writers,Chromatin remodelers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",PHF20,"PTM writers,PTM readers,TF",,"1,0","1,0","0,2"
canonical H4,HIST1H4A,KAT8,PTM writers,,1,1,0
canonical H4,HIST1H4A,NCAPD3,,,1,1,0
canonical H4,HIST1H4A,CBX3,"PTM readers,TF,Chromatin architecture",,3,3,0
canonical H4,HIST1H4A,ARID4A,TF,,1,1,0
canonical H4,HIST1H4A,BAZ2A,"PTM readers,DNA modificators,Chromatin remodelers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",MTA2,"PTM erasers,Chromatin remodelers,TF",,"2,0","2,0","0,1"
canonical H4,HIST1H4A,ZMYND8,PTM readers,,3,3,0
canonical H4,HIST1H4A,PRMT3,,,1,1,0
canonical H4,HIST1H4A,SETD2,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,MORF4L1,"PTM writers,PTM erasers,Chromatin remodelers,DNA repair",,1,1,0
canonical H4,HIST1H4A,WHSC1,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,RNF168,"PTM writers,DNA repair",,1,1,0
canonical H4,HIST1H4A,CHD4,"PTM erasers,PTM readers,Chromatin remodelers,TF",6RYR,2,2,0
canonical H4,HIST1H4A,CHD4,"PTM erasers,PTM readers,Chromatin remodelers,TF",6RYU,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",TP53BP1,"TF,Replication associated,DNA repair",5KGF,"2,0","2,7","0,7"
canonical H4,HIST1H4A,MDC1,DNA repair,,2,2,0
canonical H4,HIST1H4A,EHMT1,"PTM writers,PTM readers",,1,1,0
canonical H4,HIST1H4A,AURKA,,,1,1,0
canonical H4,HIST1H4A,EPC1,"PTM writers,Chromatin remodelers,TF",,1,1,0
canonical H4,HIST1H4A,UBA52,,,1,1,0
canonical H4,HIST1H4A,ARID4B,TF,,1,1,0
canonical H4,HIST1H4A,KDM1A,"PTM erasers,TF",6VYP,1,1,0
canonical H4,HIST1H4A,TRIM28,"PTM readers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",MYC,TF,,"1,0","1,2","0,2"
canonical H4,HIST1H4A,EP400,"PTM writers,Chromatin remodelers,TF",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",HDAC1,"PTM erasers,PTM readers,Chromatin remodelers,TF",,"4,0","4,2","0,2"
canonical H4,HIST1H4A,SIRT7,,,1,1,0
canonical H4,HIST1H4A,RUVBL2,"PTM writers,Chromatin remodelers,TF,DNA repair",6HTS,1,1,0
canonical H4,HIST1H4A,KMT2D,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,KDM5A,"PTM erasers,PTM readers,TF",,1,1,0
canonical H4,HIST1H4A,NCOR2,"PTM erasers,PTM readers,Chromatin remodelers,TF",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",BRD7,"PTM readers,Chromatin remodelers,TF",,"1,0","1,0","0,1"
canonical H4,HIST1H4A,CHD7,,,2,2,0
canonical H4,HIST1H4A,ING1,"PTM readers,TF",,1,1,0
canonical H4,HIST1H4A,SAMD1,,,1,1,0
canonical H4,HIST1H4A,MSL3,TF,,1,1,0
canonical H4,HIST1H4A,JUN,TF,,1,1,0
canonical H4,HIST1H4A,KAT7,"PTM writers,TF,Replication associated",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",NPAT,TF,,"1,0","1,1","0,1"
canonical H4,"HIST1H4A,HIST1H4I",SSRP1,"Histone chaperones,TF,Replication associated,DNA repair",6UPK,"4,0","4,2","0,2"
canonical H4,"HIST1H4A,HIST1H4I",SSRP1,"Histone chaperones,TF,Replication associated,DNA repair",6UPL,"4,0","4,2","0,2"
canonical H4,"HIST1H4A,HIST1H4I",MCM7,"TF,Replication associated",,"4,0","4,3","0,3"
canonical H4,"HIST1H4A,HIST1H4I",BRD2,PTM readers,,"5,0","5,5","0,5"
canonical H4,HIST1H4A,TRRAP,"PTM writers,Chromatin remodelers,TF",,2,2,0
canonical H4,HIST1H4A,ORC1,"PTM readers,TF,Replication associated",,1,1,0
canonical H4,HIST1H4A,RNF20,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,HIST3H2A,,,1,1,0
canonical H4,HIST1H4A,FOS,,,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",BPTF,"PTM readers,Chromatin remodelers,TF",,"1,42","1,42","0,42"
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6PWV,7,7,0
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6PWW,7,7,0
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6KIW,7,7,0
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6KIV,7,7,0
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6KIX,7,7,0
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6KIZ,7,7,0
canonical H4,HIST1H4A,WDR5,"PTM writers,PTM readers,TF",6KIU,7,7,0
canonical H4,HIST1H4A,UBN1,"Histone chaperones,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",BRD4,PTM readers,,"2,0","2,5","0,5"
canonical H4,HIST1H4A,XRCC6,"TF,DNA repair",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",NASP,"Histone chaperones,Replication associated",,"2,0","2,2","0,2"
canonical H4,HIST1H4A,DEK,"Chromatin remodelers,Histone chaperones,TF",,2,2,0
canonical H4,HIST1H4A,CREB1,TF,,1,1,0
canonical H4,HIST1H4A,SPTY2D1,Histone chaperones,,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",YWHAZ,,,"1,0","1,0","0,1"
canonical H4,HIST1H4A,MEAF6,PTM writers,,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",YY1,"Chromatin remodelers,TF,Transcription associated,Chromatin architecture",,"2,0","2,1","0,1"
canonical H4,HIST1H4A,BAZ1A,"PTM readers,Chromatin remodelers,Histone chaperones,TF",,2,2,0
canonical H4,HIST1H4A,PBRM1,"PTM readers,Chromatin remodelers,TF",,2,2,0
canonical H4,HIST1H4A,TAF1,"PTM writers,PTM readers,TF",,3,3,0
canonical H4,HIST1H4A,TAF1L,"PTM writers,PTM readers,TF",,1,1,0
canonical H4,HIST1H4A,SMARCA5,"Chromatin remodelers,Histone chaperones,TF",6NE3,3,3,0
canonical H4,HIST1H4A,TAF6,"PTM writers,TF",,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",MCM2,"Histone chaperones,TF,Replication associated",,"4,0","4,5","0,5"
canonical H4,HIST1H4A,TBL1X,TF,,1,1,0
canonical H4,HIST1H4A,ACTB,PTM writers,6LTJ,1,1,0
canonical H4,HIST1H4A,RPS27A,,6J99,4,4,0
canonical H4,HIST1H4A,RPS27A,,6KIW,4,4,0
canonical H4,HIST1H4A,RPS27A,,6KIV,4,4,0
canonical H4,HIST1H4A,RPS27A,,6KIU,4,4,0
canonical H4,HIST1H4A,KDM6A,"PTM writers,PTM erasers",,1,1,0
canonical H4,HIST1H4A,INO80,"Chromatin remodelers,TF",6HTS,2,2,0
canonical H4,HIST1H4A,BRMS1,,,1,1,0
canonical H4,HIST1H4A,GATAD2A,"PTM erasers,DNA modificators,Chromatin remodelers,TF",,2,2,0
canonical H4,HIST1H4A,KMT2C,"PTM writers,TF",6KIW,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",HAT1,PTM writers,,"4,0","4,7","0,7"
canonical H4,"HIST1H4A,HIST1H4I",KAT5,"PTM writers,Chromatin remodelers,TF,DNA repair",,"1,0","1,4","0,4"
canonical H4,HIST1H4A,EHMT2,"PTM writers,PTM readers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",TONSL,Histone chaperones,,"3,0","3,1","0,1"
canonical H4,HIST1H4A,BRD3,PTM readers,,2,2,0
canonical H4,HIST1H4A,RUVBL1,"PTM writers,Chromatin remodelers,TF",6HTS,1,1,0
canonical H4,HIST1H4A,ACTR5,,6HTS,2,2,0
canonical H4,"HIST1H4A,HIST1H4I",MMS22L,,,"1,0","1,0","0,1"
canonical H4,HIST1H4A,ING2,"PTM writers,PTM erasers,PTM readers,Chromatin remodelers,TF",,1,1,0
canonical H4,HIST1H4A,EP300,"PTM writers,PTM readers,TF",,2,2,0
canonical H4,HIST1H4A,TAF12,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,SRCAP,"PTM writers,TF",,2,2,0
canonical H4,HIST1H4A,KDM2A,"PTM erasers,TF",,1,1,0
canonical H4,HIST1H4A,ING4,"PTM writers,PTM readers,TF,Replication associated",,1,1,0
canonical H4,HIST1H4A,UBE2I,TF,,1,1,0
canonical H4,HIST1H4A,CSRP2BP,,,1,1,0
canonical H4,HIST1H4A,BRD8,"PTM writers,PTM readers,Chromatin remodelers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",DNMT1,"DNA modificators,TF,Replication associated",,"2,0","2,1","0,1"
canonical H4,HIST1H4A,ING3,"PTM writers,PTM readers,Chromatin remodelers",,1,1,0
canonical H4,HIST1H4A,BRMS1L,,,2,2,0
canonical H4,HIST1H4A,ATR,"PTM writers,TF,Replication associated,DNA repair",,1,1,0
canonical H4,HIST1H4A,BAZ1B,"PTM writers,PTM readers,Chromatin remodelers,Histone chaperones,TF,DNA repair",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",RCC1,,,"1,0","1,0","0,1"
canonical H4,HIST1H4A,KAT2A,"PTM writers,PTM readers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",BRCA1,"PTM writers,TF,DNA repair",,"1,0","1,1","0,1"
canonical H4,HIST1H4A,SMARCA4,"PTM readers,Chromatin remodelers,TF",6LTJ,1,1,0
canonical H4,HIST1H4A,NSD1,"PTM writers,TF",,1,1,0
canonical H4,HIST1H4A,PHF8,"PTM erasers,PTM readers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",MCM3,"TF,Replication associated",,"1,0","1,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",NPM1,"Histone chaperones,TF,Chromatin architecture",,"2,0","2,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",MCM4,"TF,Replication associated",,"4,0","4,0","0,3"
canonical H4,HIST1H4A,KDM1B,"PTM erasers,DNA modificators",6R1U,2,2,0
canonical H4,HIST1H4A,KDM1B,"PTM erasers,DNA modificators",6R25,2,2,0
canonical H4,HIST1H4A,KAT2B,"PTM writers,PTM readers,Chromatin remodelers,TF",,3,3,0
canonical H4,HIST1H4A,EZH2,"PTM writers,TF,Transcription associated",7AT8,2,2,0
canonical H4,HIST1H4A,KDM2B,"PTM erasers,TF",,1,1,0
canonical H4,"HIST1H4A,HIST1H4I",PRMT1,PTM writers,,"1,0","1,1","0,1"
canonical H4,HIST1H4A,CDYL,"PTM writers,PTM readers",,1,1,0
canonical H4,HIST1H4A,CHD3,"PTM erasers,PTM readers,Chromatin remodelers,TF",,2,2,0
canonical H4,HIST1H4A,SUPT6H,"Histone chaperones,TF",,1,1,0
canonical H4,HIST1H4A,UHRF1,"PTM writers,PTM readers,TF,DNA repair",,1,1,0
canonical H4,HIST1H4A,CUL4A,"PTM writers,DNA repair",,1,1,0
canonical H4,HIST1H4I,BRPF1,"PTM writers,PTM readers,TF",,0,5,5
canonical H4,HIST1H4I,COPRS,,,0,1,1
canonical H4,HIST1H4I,KDM4A,"PTM erasers,PTM readers,TF",,0,3,3
canonical H4,HIST1H4I,HDAC5,"PTM erasers,Chromatin remodelers,TF",,0,1,1
canonical H4,HIST1H4I,CREBBP,"PTM writers,PTM readers,TF",,0,6,6
canonical H4,HIST1H4I,HDAC6,"PTM erasers,PTM readers,Chromatin remodelers,TF",,0,1,1
canonical H4,HIST1H4I,APP,TF,,1,1,0
canonical H4,HIST1H4I,L3MBTL1,"PTM readers,TF",,0,3,3
canonical H4,"HIST4H4,HIST1H4A",LRWD1,PTM readers,,"1,2","0,0","0,0"
canonical H4,"HIST4H4,HIST1H4A",ORC2,"TF,Replication associated",,"1,1","0,0","0,0"
canonical H4,"HIST4H4,HIST1H4A",ORC3,"TF,Replication associated",,"1,2","0,0","0,0"
canonical H4,HIST4H4,ORC4,"TF,Replication associated",,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",FKBP14,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,DNAJC9,,,3,0,0
canonical H4,HIST1H4A,EID1,TF,,1,0,0
canonical H4,HIST1H4A,TAF1B,"Histone chaperones,TF",,1,0,0
canonical H4,HIST1H4A,CUL1,PTM writers,,2,0,0
canonical H4,HIST1H4A,CARS,,,1,0,0
canonical H4,HIST1H4A,GARS,,,1,0,0
canonical H4,HIST1H4A,GFPT1,,,1,0,0
canonical H4,HIST1H4A,HIRIP3,Histone chaperones,,2,0,0
canonical H4,HIST1H4A,HSPH1,,,2,0,0
canonical H4,HIST1H4A,PPM1G,,,1,0,0
canonical H4,HIST1H4A,RBX1,"PTM writers,DNA repair",,2,0,0
canonical H4,HIST1H4A,RPL24,,,2,0,0
canonical H4,HIST1H4A,SF1,TF,,2,0,0
canonical H4,HIST1H4A,TROVE2,,,1,0,0
canonical H4,HIST1H4A,TTC1,,,1,0,0
canonical H4,HIST1H4A,XPO7,,,1,0,0
canonical H4,HIST1H4A,ZYX,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",ATP1A2,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",ATP1A4,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",MYH8,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,TUBA3C,,,1,0,0
canonical H4,"HIST1H4A,HIST1H4I",ATP2A1,,,"1,0","0,0","0,1"
canonical H4,"HIST1H4A,HIST1H4I",ACACB,,,"1,0","0,0","0,1"
canonical H4,HIST1H4A,FANCD2,DNA repair,,1,0,0
canonical H4,HIST1H4A,TLE3,TF,,1,0,0
canonical H4,HIST1H4A,ZNF727,TF,,1,0,0
canonical H4,HIST1H4A,TUBA1C,,,1,0,0
canonical H4,HIST1H4A,HNRNPD,TF,,2,0,0
canonical H4,HIST1H4A,SYNCRIP,,,2,0,0
canonical H4,HIST1H4A,DDB1,"PTM writers,TF,DNA repair",6R91,10,0,0
canonical H4,HIST1H4A,DDB1,"PTM writers,TF,DNA repair",6R8Z,10,0,0
canonical H4,HIST1H4A,DDB1,"PTM writers,TF,DNA repair",6R90,10,0,0
canonical H4,HIST1H4A,DDB1,"PTM writers,TF,DNA repair",6R92,10,0,0
canonical H4,HIST1H4A,DDB1,"PTM writers,TF,DNA repair",6R8Y,10,0,0
canonical H4,HIST1H4A,KRT19,,,1,0,0
canonical H4,HIST1H4A,XRCC5,"TF,DNA repair",,2,0,0
canonical H4,HIST1H4A,DHX9,TF,,2,0,0
canonical H4,HIST1H4A,HNRNPC,,,2,0,0
canonical H4,HIST1H4A,USP7,,,2,0,0
canonical H4,"HIST1H4A,HIST1H4I",DNAJA2,,,"2,0","0,0","0,1"
canonical H4,HIST1H4A,SPTAN1,,,1,0,0
canonical H4,HIST1H4A,PRKDC,"PTM writers,TF,DNA repair",,2,0,0
canonical H4,HIST1H4A,VIM,,,2,0,0
canonical H4,HIST1H4A,NUMA1,,,2,0,0
canonical H4,HIST1H4A,SPTBN1,,,1,0,0
canonical H4,HIST1H4A,RRP12,,,2,0,0
canonical H4,HIST1H4A,NOP56,,,2,0,0
canonical H4,HIST1H4A,ZFR,,,2,0,0
canonical H4,HIST1H4A,CETN2,,,2,0,0
canonical H4,HIST1H4A,NOP58,,,2,0,0
canonical H4,HIST1H4A,RFC1,"TF,Replication associated,DNA repair",,2,0,0
canonical H4,HIST1H4A,NAP1L1,"Histone chaperones,Replication associated",,1,0,0
canonical H4,HIST1H4A,RPA1,"TF,Transcription associated,Replication associated,DNA repair",,2,0,0
canonical H4,HIST1H4A,DNAJA1,,,2,0,0
canonical H4,HIST1H4A,DDX1,,,1,0,0
canonical H4,HIST1H4A,PURA,,,1,0,0
canonical H4,HIST1H4A,RAD23B,"PTM writers,TF,DNA repair",,2,0,0
canonical H4,HIST1H4A,EDC4,,,1,0,0
canonical H4,HIST1H4A,RPA3,"TF,Replication associated,DNA repair",,2,0,0
canonical H4,HIST1H4A,FBL,,,2,0,0
canonical H4,HIST1H4A,NCAPH,,,1,0,0
canonical H4,HIST1H4A,LIG3,"TF,Replication associated,DNA repair",,2,0,0
canonical H4,HIST1H4A,EXOC2,,,1,0,0
canonical H4,HIST1H4A,POLR1A,"TF,Transcription associated",,1,0,0
canonical H4,HIST1H4A,ANAPC1,PTM writers,,2,0,0
canonical H4,HIST1H4A,XPC,"TF,DNA repair",,2,0,0
canonical H4,HIST1H4A,RPA2,"TF,Transcription associated,Replication associated,DNA repair",,2,0,0
canonical H4,HIST1H4A,LRPPRC,,,1,0,0
canonical H4,HIST1H4A,TUBB,,,1,0,0
canonical H4,HIST1H4A,KRT8,,,1,0,0
canonical H4,HIST1H4A,HNRNPA0,,,2,0,0
canonical H4,HIST1H4A,MAP1B,,,1,0,0
canonical H4,HIST1H4A,GTF3C1,,,2,0,0
canonical H4,HIST1H4A,TUBB4B,,,2,0,0
canonical H4,HIST1H4A,TNPO2,,,1,0,0
canonical H4,HIST1H4A,EIF4A3,,,2,0,0
canonical H4,HIST1H4A,HNRNPAB,TF,,2,0,0
canonical H4,HIST1H4A,CSE1L,,,1,0,0
canonical H4,HIST1H4A,CALM3,,,1,0,0
canonical H4,HIST1H4A,LARS,,,1,0,0
canonical H4,HIST1H4A,HNRNPUL1,,,2,0,0
canonical H4,HIST1H4A,MDN1,,,2,0,0
canonical H4,HIST1H4A,DDX52,,,2,0,0
canonical H4,HIST1H4A,EEA1,,,1,0,0
canonical H4,HIST1H4A,SSBP1,"TF,Replication associated",,1,0,0
canonical H4,HIST1H4A,KRT18,,,2,0,0
canonical H4,HIST1H4A,DNM2,,,1,0,0
canonical H4,HIST1H4A,APOBEC3C,,,1,0,0
canonical H4,HIST1H4A,ATP1A1,,,1,0,0
canonical H4,HIST1H4A,EPPK1,,,1,0,0
canonical H4,HIST1H4A,TRIP12,"PTM writers,TF",,2,0,0
canonical H4,HIST1H4A,GTF3C4,"PTM writers,TF",,2,0,0
canonical H4,HIST1H4A,DDX24,,,2,0,0
canonical H4,HIST1H4A,YWHAB,"PTM readers,TF",,1,0,0
canonical H4,HIST1H4A,UBQLN4,,,2,0,0
canonical H4,HIST1H4A,QARS,,,1,0,0
canonical H4,HIST1H4A,RTCB,,,2,0,0
canonical H4,HIST1H4A,KIF11,Chromatin remodelers,,1,0,0
canonical H4,HIST1H4A,USP48,,,1,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6PWX,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6PWV,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6PWW,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6KIW,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6KIV,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6KIX,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6KIZ,16,0,0
canonical H4,HIST1H4A,RBBP5,"PTM writers,TF",6KIU,16,0,0
canonical H4,HIST1H4A,DDB2,"TF,DNA repair",6R91,10,0,0
canonical H4,HIST1H4A,DDB2,"TF,DNA repair",6R8Z,10,0,0
canonical H4,HIST1H4A,DDB2,"TF,DNA repair",6R90,10,0,0
canonical H4,HIST1H4A,DDB2,"TF,DNA repair",6R92,10,0,0
canonical H4,HIST1H4A,DDB2,"TF,DNA repair",6R8Y,10,0,0
canonical H4,HIST1H4A,PHF6,,,1,0,0
canonical H4,HIST1H4A,HLTF,TF,,2,0,0
canonical H4,HIST1H4A,YWHAQ,,,1,0,0
canonical H4,HIST1H4A,PCNA,"TF,Replication associated,DNA repair",,1,0,0
canonical H4,HIST1H4A,COPB1,,,1,0,0
canonical H4,HIST1H4A,RPRD1B,,,2,0,0
canonical H4,HIST1H4A,PRPF31,PTM writers,,2,0,0
canonical H4,HIST1H4A,RBM10,Chromatin remodelers,,2,0,0
canonical H4,HIST1H4A,PDS5A,,,2,0,0
canonical H4,HIST1H4A,RANGAP1,,,2,0,0
canonical H4,HIST1H4A,IARS,,,1,0,0
canonical H4,HIST1H4A,ANAPC7,PTM writers,,2,0,0
canonical H4,HIST1H4A,CHAMP1,,,2,0,0
